# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
6.6066066066066069e+00 5.5920447659881196e+00 -1.7083095621013556e-02 6.9977977562672516e-04 2.0525434126172044e-04 7.1419916623772795e-06 7.3996775180489635e+02 5.2848435138186300e-03 1.4591629708496828e-04 1.2200741891936942e-07 3.5946252256078881e-04 -1.3837020785894770e-02 -5.0554511138299489e-11
6.7067067067067070e+00 5.5903335419810238e+00 -1.7107120627458963e-02 7.2063044243721121e-04 2.1137176549913182e-04 7.1418871985029128e-06 8.1787270465077711e+02 5.8411545993503388e-03 1.4632702074667090e-04 1.2217722380991462e-07 3.6991811733247545e-04 -1.3856322198893448e-02 -5.0555270008981547e-11
6.8068068068068071e+00 5.5886199099710430e+00 -1.7131216782564528e-02 7.4210254689633770e-04 2.1767158256226970e-04 7.1417824419477639e-06 9.0397961178874050e+02 6.4560257193515824e-03 1.4673954131214556e-04 1.2234752713134904e-07 3.8067798401948666e-04 -1.3875101737163997e-02 -5.0556030740715688e-11
6.9069069069069071e+00 5.5869038645730305e+00 -1.7155388752336943e-02 7.6421461155412942e-04 2.2415924802759080e-04 7.1416773916506335e-06 9.9915198769061351e+02 7.1356211613128467e-03 1.4715394402408627e-04 1.2251836216537988e-07 3.9175160915918357e-04 -1.3892589519012960e-02 -5.0556793328327580e-11
7.0070070070070072e+00 5.5851853975688019e+00 -1.7179632755951552e-02 7.8698572065815211e-04 2.3084034860352957e-04 7.1415720462001962e-06 1.1043442589714148e+03 7.8867540892519263e-03 1.4757016948257289e-04 1.2268970186307231e-07 4.0314760607421986e-04 -1.3909509270991157e-02 -5.0557557764506614e-11
7.1071071071071072e+00 5.5834644991758218e+00 -1.7203940390244029e-02 8.1043553147298831e-04 2.3772062449839741e-04 7.1414664039913542e-06 1.2206113357608249e+03 8.7169548466669421e-03 1.4798807841810672e-04 1.2286148616446108e-07 4.1487398754052121e-04 -1.3927394674333160e-02 -5.0558324040314153e-11
7.2072072072072073e+00 5.5817411637597267e+00 -1.7228315847232733e-02 8.3458427687341892e-04 2.4480602363794726e-04 7.1413604639199161e-06 1.3491191907634941e+03 9.6345464500340473e-03 1.4840774775488338e-04 1.2303374496967020e-07 4.2694103352436370e-04 -1.3945557103073230e-02 -5.0559092147897338e-11
7.3073073073073074e+00 5.5800153846087222e+00 -1.7252760165531355e-02 8.5945279426036920e-04 2.5210266761701444e-04 7.1412542247487395e-06 1.4911565520992281e+03 1.0648728027440376e-02 1.4882920043802209e-04 1.2320648565668996e-07 4.3935871867708051e-04 -1.3963865626240789e-02 -5.0559862077919989e-11
7.4074074074074074e+00 5.5782871562311804e+00 -1.7277278155912349e-02 8.8506253539585118e-04 2.5961688472293202e-04 7.1411476853893584e-06 1.6481478271835319e+03 1.1769667041271180e-02 1.4925252470510803e-04 1.2337974254447005e-07 4.5213776901478108e-04 -1.3981529132385260e-02 -5.0560633820611591e-11
7.5075075075075084e+00 5.5765564721166303e+00 -1.7301871653071291e-02 9.1143559736397691e-04 2.6735517333754103e-04 7.1410408446227609e-06 1.8216673872543463e+03 1.3008601217700515e-02 1.4967775779377085e-04 1.2355352869680131e-07 4.6528893223722622e-04 -1.3998282220787478e-02 -5.0561407364645347e-11
7.6076076076076085e+00 5.5748233241258962e+00 -1.7326537677997248e-02 9.3859474509371097e-04 2.7532419595822666e-04 7.1409337010233534e-06 2.0134553557959093e+03 1.4377951205708976e-02 1.5010485373866060e-04 1.2372782280026548e-07 4.7882264386684916e-04 -1.4014702739477063e-02 -5.0562182696755734e-11
7.7077077077077085e+00 5.5730877030534955e+00 -1.7351270133810052e-02 9.6656342805445010e-04 2.8353079505712977e-04 7.1408262530290250e-06 2.2254350591923949e+03 1.5891445095092254e-02 1.5053371220262134e-04 1.2390258127776707e-07 4.9274911763203867e-04 -1.4031909833534677e-02 -5.0562959801910212e-11
7.8078078078078086e+00 5.5713495998216835e+00 -1.7376063405528247e-02 9.9536579406850735e-04 2.9198202086698472e-04 7.1407184990899383e-06 2.4597323146134199e+03 1.7564256041769359e-02 1.5096424063817815e-04 1.2407776399781206e-07 5.0707878544181879e-04 -1.4050932650789204e-02 -5.0563738663802597e-11
7.9079079079079087e+00 5.5696090067655284e+00 -1.7400916234231307e-02 1.0250267031845835e-03 3.0068516118203731e-04 7.1406104378286544e-06 2.7186967485580662e+03 1.9413154380044553e-02 1.5139642175791083e-04 1.2425336194104946e-07 5.2182293264422391e-04 -1.4072036624433366e-02 -5.0564519265418027e-11
8.0080080080080087e+00 5.5678659184684056e+00 -1.7425834236079858e-02 1.0555717445563070e-03 3.0964776326249653e-04 7.1405020681442234e-06 3.0049253598482915e+03 2.1456675746615750e-02 1.5183035797010981e-04 1.2442941518696900e-07 5.3699428410389325e-04 -1.4094291021399707e-02 -5.0565301589404225e-11
8.1081081081081088e+00 5.5661203316072845e+00 -1.7450829436657569e-02 1.0870272592699217e-03 3.1887763793097250e-04 7.1403933891928371e-06 3.3212885633708365e+03 2.3715306901494898e-02 1.5226626411105938e-04 1.2460600958503822e-07 5.5260719493426804e-04 -1.4115658232286327e-02 -5.0566085617963056e-11
8.2082082082082088e+00 5.5643722432672007e+00 -1.7475915191098385e-02 1.1194203720652043e-03 3.2838283594935347e-04 7.1402844001776806e-06 3.6709589757446852e+03 2.6211691108202012e-02 1.5270437947740366e-04 1.2478324047597646e-07 5.6867698535317617e-04 -1.4133882098245688e-02 -5.0566871331944410e-11
8.3083083083083089e+00 5.5626216471842973e+00 -1.7501094860462793e-02 1.1527790348936915e-03 3.3817158676457601e-04 7.1401750998805859e-06 4.0574432315882518e+03 2.8970855131365453e-02 1.5314476982790224e-04 1.2496113183029436e-07 5.8521783109568074e-04 -1.4148449347938867e-02 -5.0567658708792731e-11
8.4084084084084090e+00 5.5608685275164573e+00 -1.7526343035767455e-02 1.1871320844783458e-03 3.4825219235667016e-04 7.1400654858855574e-06 4.4846171494525324e+03 3.2020460126216496e-02 1.5358699705853897e-04 1.2513950217853108e-07 6.0223856137111924e-04 -1.4163822158883762e-02 -5.0568447719024946e-11
8.5085085085085090e+00 5.5591128735029516e+00 -1.7551649726298229e-02 1.2225091887672678e-03 3.5863330061811782e-04 7.1399555564076494e-06 4.9567646000782524e+03 3.5391078948133460e-02 1.5403089114164096e-04 1.2531828016170957e-07 6.1975076354197495e-04 -1.4181776814792000e-02 -5.0569238333709176e-11
