# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
2.8468082009365045e+01 1.1642820982109373e-09 1.1611481333182787e-60 2.6866728115302808e-35 1.0146798852942749e-11 9.9730824265229685e-52 7.3070462510061585e-01
3.1648117256518162e+01 1.1642342200621773e-09 1.1427084223192674e-60 2.7095764573476793e-35 1.0142196348677506e-11 9.8151076701579832e-52 7.4287119003039348e-01
3.5183379250938884e+01 1.1643525148678994e-09 1.1269537917845248e-60 2.7368992838965816e-35 1.0137191956125185e-11 9.6788024021434978e-52 7.5555053704770969e-01
3.9113548698080876e+01 1.1646499429348888e-09 1.0947790520943344e-60 2.7490278819911460e-35 1.0131951923127933e-11 9.4000695980417822e-52 7.6987142498236794e-01
4.3482738847955375e+01 1.1650821225505471e-09 1.0736911297253436e-60 2.7686398326541422e-35 1.0126481316784242e-11 9.2155832532634322e-52 7.8279584367049315e-01
4.8339990633789107e+01 1.1656041413896432e-09 1.0504040524093853e-60 2.7769852196971043e-35 1.0120768557152756e-11 9.0116705587291807e-52 7.9363321046649182e-01
5.3739823120288484e+01 1.1661754083263980e-09 1.0276510448308510e-60 2.7768122458605354e-35 1.0114807832919657e-11 8.8121481339214127e-52 8.0212442753972135e-01
5.9742845439883915e+01 1.1667650464012252e-09 1.0230825279379304e-60 2.8131370574256645e-35 1.0108587574205382e-11 8.7685393995434668e-52 8.1422391229092972e-01
6.6416437085487203e+01 1.1673472510647873e-09 9.9501416358013571e-61 2.8082792830330064e-35 1.0102100724443386e-11 8.5237204496994426e-52 8.2399700332399728e-01
7.3835504195547415e+01 1.1678911097476815e-09 9.8206232335482789e-61 2.8196540144544564e-35 1.0095335885808247e-11 8.4088517770034123e-52 8.3257836320274148e-01
8.2083320320143258e+01 1.1683664673509094e-09 9.6563388602602874e-61 2.8190489978237730e-35 1.0088288602138335e-11 8.2648202683825268e-52 8.3927992183588240e-01
9.1252461105094653e+01 1.1687506493093732e-09 9.5614450256424589e-61 2.8386575316681581e-35 1.0080952334133969e-11 8.1809109849841926e-52 8.4916151205948520e-01
1.0144584338522890e+02 1.1690338282917882e-09 9.4129603462790946e-61 2.8408485776711799e-35 1.0073318506274558e-11 8.0519144258070524e-52 8.5638969318204217e-01
1.1277788034985727e+02 1.1692041922843810e-09 9.2084200770148833e-61 2.8343976270379447e-35 1.0065378742379419e-11 7.8758014534856851e-52 8.6381955688831036e-01
1.2537576574634363e+02 1.1692392902349715e-09 9.1153284380762031e-61 2.8450124239129427e-35 1.0057135250238289e-11 7.7959477706606807e-52 8.7145768917542932e-01
1.3938090153599839e+02 1.1691086672576619e-09 9.0823734531771801e-61 2.8739234767937483e-35 1.0048578161650605e-11 7.7686306735552584e-52 8.8195836216069001e-01
1.5495048502668226e+02 1.1687862712352213e-09 8.8562677394246171e-61 2.8442004487679146e-35 1.0039708274349185e-11 7.5773201289102667e-52 8.8403056541306058e-01
1.7225927329651455e+02 1.1682547969539631e-09 8.7637444533803306e-61 2.8481224113594341e-35 1.0030519717581689e-11 7.5015694146776780e-52 8.9011272985336209e-01
1.9150154471303225e+02 1.1674362577021249e-09 8.6564744465681998e-61 2.8478381530148267e-35 1.0020919998357262e-11 7.4149439761334931e-52 8.9583533731375042e-01
2.1289327956441298e+02 1.1663993214688851e-09 8.5852987699317382e-61 2.8464822560718216e-35 1.0010867011174437e-11 7.3605142011913971e-52 8.9951238039729497e-01
2.3667458427872930e+02 1.1651474860920955e-09 8.5338875463362313e-61 2.8475863550009818e-35 1.0000499372493766e-11 7.3242981238013823e-52 9.0305248932186977e-01
2.6311238644130788e+02 1.1636676431098246e-09 8.3945144576179701e-61 2.8401905341571883e-35 9.9898208335055541e-12 7.2138419481907972e-52 9.0873071142673456e-01
2.9250343085977858e+02 1.1619589946368788e-09 8.1369732139412626e-61 2.8123669110644720e-35 9.9788417004827723e-12 7.0028058231815054e-52 9.1462935377766907e-01
3.2517761030542283e+02 1.1600255471868801e-09 8.1313637566305229e-61 2.8207246233003540e-35 9.9675708281069435e-12 7.0096419655148849e-52 9.1842821662196372e-01
3.6150166831593680e+02 1.1578618005076487e-09 8.0653690837545962e-61 2.8155911718665761e-35 9.9560268925876193e-12 6.9657441675841147e-52 9.2135947985739564e-01
4.0188331562084255e+02 1.1554621163979674e-09 7.9181556045577946e-61 2.7980867256857727e-35 9.9442270281554483e-12 6.8528041656976329e-52 9.2506297634594559e-01
4.4677580639337231e+02 1.1528315807208817e-09 7.8760459316243867e-61 2.7970324670165037e-35 9.9321898956397184e-12 6.8319137533510182e-52 9.2824037550100047e-01
4.9668302569387771e+02 1.1499759214296483e-09 7.9161113383383089e-61 2.8042515235809029e-35 9.9199433522877483e-12 6.8837192073526292e-52 9.2942990926412961e-01
5.5216514520757016e+02 1.1469019132055535e-09 7.7449081720195667e-61 2.7791043798098091e-35 9.9075101448796681e-12 6.7528949798093896e-52 9.3246724163133088e-01
