# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
7.3073073073073074e+00 5.5900433164227916e+00 -1.5511163951289639e-02 7.5301193672114337e+00 -4.7494378645873053e-02 6.9286835007699861e-06 1.4911565520992281e+03 1.0331751799594982e-02 1.3204776332480377e-04 1.1259779619345675e-07 1.9189080143979739e-03 -2.5016514277363285e-02 1.3813367224070397e-10
7.4074074074074074e+00 5.5884896587434181e+00 -1.5530917502620900e-02 7.5253636719600259e+00 -4.7524494323258552e-02 6.9285918014555202e-06 1.6481478271835319e+03 1.1419343523010548e-02 1.3238419787264734e-04 1.1273964637363932e-07 1.9164675368114126e-03 -2.5040981894966886e-02 1.3813474364207860e-10
7.5075075075075084e+00 5.5869340215599825e+00 -1.5550720994836830e-02 7.5206049536938808e+00 -4.7554702227566699e-02 6.9284998695949323e-06 1.8216673872543463e+03 1.2621422255037080e-02 1.3272193042505444e-04 1.1288185889292823e-07 1.9145828215202916e-03 -2.5065405345063650e-02 1.3813581801032929e-10
7.6076076076076085e+00 5.5853763998895145e+00 -1.5570574800162345e-02 7.5158432039145850e+00 -4.7584995826412388e-02 6.9284077043003202e-06 2.0134553557959093e+03 1.3950039599361121e-02 1.3306096708227692e-04 1.1302443488703952e-07 1.9131718598268395e-03 -2.5089791516570203e-02 1.3813689517108633e-10
7.7077077077077085e+00 5.5838167880818981e+00 -1.5590478130345722e-02 7.5110784212817503e+00 -4.7615366664123325e-02 6.9283153046342175e-06 2.2254350591923949e+03 1.5418515780072225e-02 1.3340129491506831e-04 1.1316736740944000e-07 1.9120240038551519e-03 -2.5114364106552850e-02 1.3813797552960521e-10
7.8078078078078086e+00 5.5822551813915888e+00 -1.5610431863912992e-02 7.5063105951813904e+00 -4.7645811871505218e-02 6.9282226697222235e-06 2.4597323146134199e+03 1.7041573183553014e-02 1.3374292971049642e-04 1.1331066171109628e-07 1.9111466476760043e-03 -2.5139019235134247e-02 1.3813905872599167e-10
7.9079079079079087e+00 5.5806915748424712e+00 -1.5630436499835174e-02 7.5015397174565708e+00 -4.7676328438697353e-02 6.9281297986712369e-06 2.7186967485580662e+03 1.8835483957235742e-02 1.3408588132430614e-04 1.1345432050228732e-07 1.9105117887653093e-03 -2.5163721652957230e-02 1.3814014459757128e-10
8.0080080080080087e+00 5.5791259633594947e+00 -1.5650492389500299e-02 7.4967657808571486e+00 -4.7706913494901297e-02 6.9280366905781638e-06 3.0049253598482915e+03 2.0818233145477757e-02 1.3443015741203845e-04 1.1359834554547941e-07 1.9100820589738126e-03 -2.5188461782562052e-02 1.3814123305543349e-10
8.1081081081081088e+00 5.5775583416666326e+00 -1.5670599555435486e-02 7.4919887801250500e+00 -4.7737563847295328e-02 6.9279433445225785e-06 3.3212885633708365e+03 2.3009698997843945e-02 1.3477576034366182e-04 1.1374273635932098e-07 1.9097883182585147e-03 -2.5213290130908603e-02 1.3814232417327810e-10
8.2082082082082088e+00 5.5759887044541516e+00 -1.5690757995298118e-02 7.4872087102996634e+00 -4.7768276822857579e-02 6.9278497595789917e-06 3.6709589757446852e+03 2.5431852257537160e-02 1.3512269236096137e-04 1.1388749240677962e-07 1.9095661836110390e-03 -2.5238258611045814e-02 1.3814341804772232e-10
8.3083083083083089e+00 5.5744170466008605e+00 -1.5710968083864629e-02 7.4824255644302511e+00 -4.7799051331141935e-02 6.9277559348330379e-06 4.0574432315882518e+03 2.8108976427883653e-02 1.3547096242693562e-04 1.1403261597851854e-07 1.9094041579436497e-03 -2.5263343806262863e-02 1.3814451460989090e-10
8.4084084084084090e+00 5.5728433632234804e+00 -1.5731230661381889e-02 7.4776393330251922e+00 -4.7829888003884116e-02 6.9276618693849056e-06 4.4846171494525324e+03 3.1067911225051936e-02 1.3582058773155153e-04 1.1417811280747998e-07 1.9093532448502496e-03 -2.5288431117391458e-02 1.3814561358045942e-10
8.5085085085085090e+00 5.5712676493252591e+00 -1.5751546396646304e-02 7.4728500075678772e+00 -4.7860787267315429e-02 6.9275675623233508e-06 4.9567646000782524e+03 3.4338321657574777e-02 1.3617158274258401e-04 1.1432398744972287e-07 1.9094481184235934e-03 -2.5313437951519413e-02 1.3814671476099074e-10
